nombre,nombre_corto,rol,dialogo
RICARDO ANAYA,Anaya,Candidato,"Bueno, primero hacer una aclaración porque López Obrador está faltando a la verdad, aquí está la votación para el precio de la gasolina, los impuestos relativos a ella, 17 de octubre de 2013 quienes votamos en contra el número ocho Ricardo Anaya Cortés."
CARLOS PUIG,NA,Moderador,Aclaración hecha.
RICARDO ANAYA,Anaya,Candidato,Entonces eso que dijo López Obrador es mentira y soy el único candidato que me he comprometido a bajar el precio de la gasolina y ya expliqué cómo lo voy a hacer. Segundo.
CARLOS PUIG,NA,Moderador,"Gracias, candidato. ¿Cuál es la evidencia, el dato que su propuesta de apoyo de tal que es básicamente el IBU puede funcionar mejor que otras cosas que hemos tenido en México que no han funcionado?"
RICARDO ANAYA,Anaya,Candidato,"Lo primero que hay que entender es que la mejor política social que existe es el empleo, el trabajo bien pagado, nada sustituye un empleo bien pagado, de lo yo quiero un gobierno que además haga una verdadera acción social y para eso estoy proponiendo un sistema de protección social universal, la clave es dejar de utilizar los programas sociales para controlar política y electoralmente a la gente en pobreza y verdaderamente ayudarles a salir adelante, ¿cómo? Primero, infraestructura básica, muchísima gente que hoy nos está viendo no tiene agua potable en su casa todos los días, eso inaceptable en pleno siglo XXI; segundo, política de ingreso, ahí entra el Ingreso Básico Universal; tercero, educación de calidad; cuarto, salud; y la clave del sistema es no usar los programas sociales para controlar políticamente a los pobres, sino realmente para que puedan superar la condición."
CARLOS PUIG,NA,Moderador,"Ahora me tocará hacer algunas de preguntas, pero candidato López Obrador usted propone uno nuevo que tiene que ver con el de los jóvenes, con las becas a los jóvenes y doblar uno de hace mucho tiempo que es el de los adultos mayores. Ayúdenme entender por qué esto de verdad va a cambiar los números de pobreza que no han cambiado en el país en tanto tiempo, y nuestros porcentajes de desigualdad, ¿qué evidencia tiene para decir, ‘ahora sí esto va a cambiar los números en México seriamente’?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Lo que va a moderar la indigencia y la opulencia como diría Morelos es el combate a la corrupción, acabar con la corrupción, está demostrado que en los países donde no hay corrupción no hay pobreza, no hay inseguridad, no hay violencia, Suecia, Dinamarca, Noruega, Finlandia, Nueva Zelanda, ahí en esos países la clase mayoritaria es la clase media. Nuestro país desgraciadamente por la corrupción la clase mayoritaria es la clase pobre, sólo unos cuantos acumulan fortunas al amparo del poder público y mediante la corrupción."
CARLOS PUIG,NA,Moderador,"Pero no es estructural, no es de un sistema económico… "
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, la corrupción es la causa principal de la desigualdad social y económica en el país, ese es el principal problema. Ahora, ¿cómo llevar a cabo acciones para combatir la pobreza? Acabando con la corrupción y destinando todo lo que se ahorre a impulsar el desarrollo, a la creación de empleos y también a programas de bienestar. A mí me toca, y tengo el gran orgullo de haber iniciado el programa mejor evaluado, que es el del apoyo a los adultos mayores, ese salió de esta cabeza y de este corazón, el mejor programa social de los últimos tiempos. O sea, no presumo; pero creo que eso es muy importante. Y ahora vamos a darles atención especial a los jóvenes que se les ha cancelado el futuro."
CARLOS PUIG,NA,Moderador,¿Y eso va a cambiar los números?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Van a cambiar las cosas.
CARLOS PUIG,NA,Moderador,"Gracias. Candidato Rodríguez Calderón, usted, al contrario, dice “acabemos con todos, menos con algunos muy claros que es adultos mayores y otros grupos vulnerables, los demás programas sociales, adiós”. ¿No va a ayudar eso a acabar la pobreza?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Primero, quitándoles los 12 mil millones de pesos a esos que, Andrés, no me lo has querido firmar, por cierto, no seas gacho, fírmamelo. Y eso te va a potenciar si lo firmas hoy, te lo aseguro. Cómo quitar 12 mil millones de pesos, se gastaron estos hombres, eh, 12 mil millones de pesos, son parte del asistencialismo, ellos viven del asistencialismo, por eso no lo quieren quitar, por eso están promoviendo eso. Hay que hacer trabajar a la gente, hay que separar vulnerabilidad de asistencialismo. La vulnerabilidad es el adulto mayor que ha generado lo que hoy México es, hay que apoyarlos, a la madre soltera, a la gente que tiene una discapacidad; pero no a todos. Hay mucha gente floja en este país que está recibiendo. Hay 6 mil 800 acciones en todos los gobiernos, desde el Municipio hasta el Gobierno Federal y todas ellas…y no hemos acabado con la pobreza. Yo pretendo terminarla poniéndolos a jalar, a trabajar."
CARLOS PUIG,NA,Moderador,Candidato Meade...
JOSÉ ANTONIO MEADE,Meade,Candidato,Solamente…
CARLOS PUIG,NA,Moderador,…nada más quiero regresar a esta parte.
JOSÉ ANTONIO MEADE,Meade,Candidato,Perdón.
CARLOS PUIG,NA,Moderador,"Es cierto que hubo 2 millones de pobres, son los menos; pero también sabemos de esa fragilidad porque la inflación, un poco la inflación, una distracción de inflación y a lo mejor vuelven a hacerlo porque no se arregla un problema de ingreso. Por eso le pregunto, en esto que usted ofrece, que se llama “Avanzar Contigo”, si no me equivoco, ¿qué evidencia tenemos que esa sí va a cambiar el problema de ingreso que causa pobreza en el país? Adelante, candidato."
JOSÉ ANTONIO MEADE,Meade,Candidato,"El problema de fondo es justamente que somos un país en donde no hemos terminado el ciclo para que todos los mexicanos terminen la Preparatoria y eso hace muy difícil conseguir un empleo formal. Tenemos que hacer todo lo necesario para que se termine la Preparatoria, que llegue agua a tu casa, que tengas drenaje, que haya un buen transporte público, que tengas resuelto tu problema de salud, que tengas resuelto tu problema de alimentación. Si vamos resolviendo todo eso, vamos a ir moviéndonos hasta que se termine la Preparatoria y, si se termina la Preparatoria, vamos a mover a México a un mejor entorno de oportunidades. Decía Andrés Manuel que la generación de pobreza es corrupción. Déjenme darles dos resultados. Cuando Andrés Manuel fue Jefe de la Ciudad de México se generaron 370 mil nuevos pobres, eso alcanza para llenar el Estadio Azteca cuatro veces. Cuando yo fui Secretario, salieron 2 millones de mexicanos de la pobreza, esos son 20 estadios Azteca. Con esa métrica, uno de los gobernadores más corruptos que hemos tenido es Andrés Manuel porque es de los pocos que ha…"
CARLOS PUIG,NA,Moderador,"Tiempo, tiempo, tiempo, candidato. ¿Por alusiones, quiere intervenir en este momento? Candidato Anaya…"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Está muy desesperado este Meade. ¿Yo qué culpa tengo de que estén ustedes empatados hasta abajo?
JOSÉ ANTONIO MEADE,Meade,Candidato,"Andrés, ¿yo qué culpa tengo de los 370 mil pobres? Esos están sobre tu conciencia."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Hasta abajo y piensan que aquí en el debate van a remontar 30 puntos que les llevo. O sea, yo entiendo, pues, que estén desesperados; pero serénense."
CARLOS PUIG,NA,Moderador,"Candidato Anaya, regreso a mi pregunta, ¿el Instituto…el Ibu va a arreglar el problema de “Progresa”? ¿Usted cree que van a cambiar algo, en cuánto tiempo?"
RICARDO ANAYA,Anaya,Candidato,¿Puedo antes replicar?
CARLOS PUIG,NA,Moderador,"Es su tiempo, es su bolsa de tiempo, puede hacer lo que quiera."
RICARDO ANAYA,Anaya,Candidato,"Algo que se ha dicho, a ver, esto es algo muy serio. Aquí estás, Andrés Manuel, con tu amigo el ingeniero Rioboó. Este señor participó para él hacer el proyecto de las pistas del nuevo aeropuerto, era un contrato de mil millones de pesos, lo perdió. Ya que lo perdió, se presentó con López Obrador en las instalaciones del nuevo aeropuerto para echar pestes del proyecto y para proponer que mejor se hiciera en otro lugar. Te has convertido, Andrés Manuel, en lo que tanto criticabas, como los del PRI, ya tienes también tus contratistas favoritos. Contesta sin chistes, sin payasadas, ¿sí o no, cuando fuiste Jefe de Gobierno, a Rioboó le otorgaron contratos, por asignación directa sin licitación, sin concurso, por 170 millones de pesos? Contesta sí o no."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, no tiene sentido lo que planteas. Te digo que no, yo no soy corrupto, a mí me pueden llamar…."
RICARDO ANAYA,Anaya,Candidato,¿Dices que no es cierto?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,No.
RICARDO ANAYA,Anaya,Candidato,"¿Y si te lo demuestro, renuncias a la candidatura?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Nosotros, nosotros…"
RICARDO ANAYA,Anaya,Candidato,Si te presento los contratos por 170 millones…
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Yo no soy corrupto como tú.
RICARDO ANAYA,Anaya,Candidato,…renuncias a la candidatura ¿Si te presento los contratos renuncias a la candidatura?
CARLOS PUIG,NA,Moderador,"Candidato Anaya, por respeto a la gente w mandó sus preguntas les voy a pedir, después de ese intercambio, que regresemos al tema, le voy a pedir al candidato Rodríguez Calderón que utilice su tiempo para hablar cómo va a acabar, de cómo va a acabar, cómo va a acabar con la desigualdad a partir de, acabando con las redes sociales y con su plan económico."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Mira, en Nuevo León es el único estado que ha terminado casi con la pobreza, con la pobreza extrema, ya no existe, terminamos con el asistencialismo y la gente se puso a jalar. Hay que generar empleos y para generar empleos necesitamos no gastarnos dinero en lo que no se debe de gastar. El Gobierno puede generar muchas condiciones de incentivos, no solamente económicos, sino también potenciar la libre empresa, el libre negocio, la libre oportunidad y para eso hay que generar los fondos necesarios como para que tengamos, por ejemplo, la reducción a la jornada laboral de la mujer, eso sería grandioso, en Nuevo León lo hicimos."
CARLOS PUIG,NA,Moderador,¿La reducción?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí, sí…"
CARLOS PUIG,NA,Moderador,Que las mujeres trabajen menos.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Así es, en Nuevo León Nuevo León ya lo hicimos a partir de un acuerdo con los empresarios y los empresarios reducen la jornada laboral y el Estado les subsidia, a través del Impuesto sobre la Nómina, ese salario. Eso potencia la posibilidad de que la mujer pueda tener mejores condiciones en su casa, en su tranquilidad y evidentemente en la conducción de su familia. Hay muchas mujeres que trabajan y que evidentemente no reciben, no reciben los apoyos que el Gobierno tiene para otras gente. Hay trabajadoras que trabajan mucho tiempo y no reciben el asistencialismo. Vamos a reducir el asistencialismo, claro que lo vamos a reducir poniendo a trabajar a la gente."
CARLOS PUIG,NA,Moderador,"Gracias. Candidato Meade, le ofrezco la palabra para que me diga si habría que hacer algo con estructura fiscal para ayudar también a reducir la desigualdad, no sólo la pobreza y si ha pensado, ¿no?, muchos países lo que hacen es atacarlo a través de la fiscal, de impuestos y redistribución."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira, el problema de es un poco más básico que este e implica resolver problemas mucho más estructurales. Hoy en México hay 14 millones de mexicanos que viven en una casa que quema leña para cocinar, hoy en México hay 20 millones de mexicanos que no tienen acceso a ningún sistema de salud, hoy en México hay 35 millones de mexicanos que no tienen electrodomésticos en su casa. Lo que tenemos que hacer es resolver eso de fondo y esa es la idea de programa de “Avanzar Contigo”."
CARLOS PUIG,NA,Moderador,"Muchas gracias candidato Meade. Le pregunto un poco lo mismo, candidato López Obrador, usted ha dicho no quiero más impuestos, no quiero nuevas tasas, pero tenemos un sistema fiscal que ha colaborado a esta, a esta desigualdad también, no sólo de corrupción, un sistema fiscal que permite que paguen menos, ¿no?, algunos, etcétera, que también ha abonado a eso."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Yo he planteado, yo insisto, ¿no?, el problema principal de México es la corrupción, se puede medir, en los últimos 20 años pasamos del lugar 60 en corrupción en el mundo al lugar 135, o sea, creció la corrupción en México, somos, desgraciadamente y da pena, de los países más corruptos…"
CARLOS PUIG,NA,Moderador,"Tiempo, tiempo candidato López Obrador. Candidato Anaya."
RICARDO ANAYA,Anaya,Candidato,"Me quedan 11 segundos, en estos momentos, en esta página de internet van a poder ustedes encontrar las pruebas de que efectivamente le dio esos contratos por 170 millones de pesos."
CARLOS PUIG,NA,Moderador,"Tiempo candidato Anaya, los últimos 15 segundos los tiene candidato Rodríguez Calderón en esta mesa de discusión."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Me divierto con ustedes, ‘hora  dale un beso, dale pues, dale un beso. México necesita de la unidad de todos, no de los pleitos, los tres tienen ese mismo problema, se pelean entre ellos y no dan soluciones."
CARLOS PUIG,NA,Moderador,Gracias candidato Rodríguez Calderón. Gabriel Warkentin tiene la palabra.
GABRIELA WARKENTIN,NA,Moderador,"Pasamos al siguiente tema, el tema que tiene que ver con educación y se podrán imaginar, candidatos, que así como el de economía recibió muchísimas preguntas por parte de redes sociales, el segundo fue el de educación precisamente y lo que más se preguntaba tenía que ver con estrategias de acceso y cobertura a la educación básica, temas de educación superior, por supuesto también qué pasa con oferta y garantía también vinculadas al empleo, muchas, muchas preguntas nos llegaron a través de las redes sociales. Comienzo con ustedes, candidato Rodríguez Calderón. Usted ha dicho, tal cual dice “ni Juárez, ni Zapata”, su madre, dice, es su heroína porque a pesar de no saber leer ni escribir lo guió en la vida. Usted ha hablado mucho de la familia y ha hablado mucho de cómo se involucra la familia también en la educación y la verdad es que nos llegaron muchas preguntas al respecto. Usted dice en materia educativa hay que incluir a los padres de familia en actividades de la escuela, ya existe por ahí, está en la reforma educativa también esto pensado, pero tal cual la pregunta, ¿qué apoyos, que acompañamientos pedagógicos, psicológicos, sociales, pero sobre todo presupuestales pensar y a usted para que las familias Se implique en la educación de sus hijos?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"No todos son apoyos del gobierno, el padre y la madre tienen que dejar de ser pasadones y alcahuetes con los hijos, punto. Y aquí los que me estén escuchando, mexicanos tenemos que cambiar nuestra actitud como padres de familia y ayudarle al maestro, y que regresarle el poder al maestro, no a los sindicatos, por cierto Andrés, ¿qué traías en la cartera?, no traías ahí una fotografía de Elba Esther Gordillo?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, fíjate que ahora no la traje."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Ah, bueno, Javier."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Por precaución.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Perdón, entonces el poder al maestro no al sindicato, no se puede hablar con el maestro si no tiene un buen salario, el recién egresado gana 6 mil peso, debería de ganar aproximadamente arriba de 15 mil pesos, hay más de 200 mil maestros que no tienen un trabajo estable, existe todos los maestros de inglés que no tienen un salario digno, entonces cómo podemos avanzar en eso; el padre de familia tiene que involucrarse y evidentemente para involucrarse tenemos que trabajar con ellos a partir de que el maestro tenga mejores condiciones en la escuela con menos tiempo de trabajo."
GABRIELA WARKENTIN,NA,Moderador,"Y usted ha dicho o candidato que hay que revisar la reforma educativa, usted ha dicho no echarla para atrás pero revisar la reforma educativa, le preguntan directamente, sobre todo usted dice modificaciones en la ley del servicio profesional docente ¿a qué se refiere de manera específica?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Que no es lo mismo Oaxaca que Nuevo León, que no es lo mismo Chiapas que baja California."
GABRIELA WARKENTIN,NA,Moderador,¿Y eso no está contemplado hoy en la..?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"No está contemplado la regionalización en términos de los avances de la Reforma y creo que si la región alisamos yo le ofrecí a los maestros de Oaxaca irme allá a Oaxaca a hablar con ellos para entender cuál es la razón, creo que los candidatos no debemos de ser todologos, tenemos que escuchar al maestro, tenemos que darle la oportunidad que nos diga cuál es la razón por la que no está contento y conforme.Y ninguna reforma en este país tiene que ser a chaleco, o sea, tenemos que ver cuál sí y cual no, qué modificaciones se tienen que hacer, pero siempre en la cordialidad para que México avance en ese sentido. El maestro es fundamental para el avance del país y creo que aquí nosotros hemos fallado en la comunicación con ellos, tenemos que hablar mucho más con ellos, ellos pueden cambiar todos los problemas que hoy tenemos en México."
GABRIELA WARKENTIN,NA,Moderador,"Hay dos temas más candidato que llegaron, sobretodo preguntando con usted, tienen que ver con deserción, con deserción escolar, me voy a permitir leerle un mensaje que es representativo de todos los que le llegaron a usted: `dice soy un estudiante a punto de egresar del nivel medio superior, muchos aspirantes como yo buscamos un lugar en una escuela de nivel superior, pero la problemática surge por la falta de escuelas, ya que a mí me quedan lejos de donde vivo ¿cuál es su propuesta?, se la mandan directo a usted, ¿cuál es su propuesta para que estudiantes como yo que buscan prepararse en nivel superior tengan la oportunidad de estudiar e incluso de trabajar a la vez`?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"La educación a distancia hoy la tecnología nos permite tener una gran cobertura en México, creo que los jóvenes podrán estudiar en su casa o en su propio trabajo, cuando trabajan y estudian a la vez; a la educación a distancia utilizando la tecnología, a eso va a terminar con las deserciones escolares y abrirá espacios enormemente, podremos hablar con las universidades privadas y las escuelas privadas que tienen espacios, en lugar de construir más podremos a partir de ahí nosotros subsidiar a ese joven, la entrada una de esas escuelas."
GABRIELA WARKENTIN,NA,Moderador,¿Y de dónde va a salir todo ese recurso?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Corriendo a todos los flojos del gobierno.
GABRIELA WARKENTIN,NA,Moderador,¿A todos los flojos del gobierno?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Así es.
GABRIELA WARKENTIN,NA,Moderador,"Corriéndolos, ¿de todos los niveles?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Incluyendo estos tres para que ya no se peleen.
GABRIELA WARKENTIN,NA,Moderador,Esa va a ser la bolsa para qué usted haga lo que tenga que hacer.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Claro, con 12 mil millones de pesos, 12 mil pesos que hoy se gastan, que fácilmente podríamos sostener a muchos de miles de jóvenes."
GABRIELA WARKENTIN,NA,Moderador,"La última pregunta que le hacen llegar ¿si tuviera que elegir un nivel educativo para darle prioridad a México, a cuál nivel le daría prioridad y por qué?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Tenemos que trabajar mucho en el nivel técnico, el nivel técnico superior, porque hoy es la parte que demanda la industria y la empresa que estamos teniendo en México."
GABRIELA WARKENTIN,NA,Moderador,A eso es a lo que usted le daría prioridad.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Así es, Así es."
GABRIELA WARKENTIN,NA,Moderador,"Y por último, ya que nos quedan unos minutitos, hablan también de la deserción en Secundaria, nos dicen 8 de cada 10 estudiantes no alcanzan los conocimientos necesarios de nivel educativo y se van, no es sólo por un tema de dinero, sino también es un tema de que no pueden seguir en la escuela."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Es la etapa más difícil de una persona, esa edad, la edad de la adolescencia, en donde el padre y la madre tienen mucho que trabajar en eso, trabajaremos con los padres para ayudar a que sus hijos se conserven en las escuelas."
GABRIELA WARKENTIN,NA,Moderador,O sea usted está en los padres.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Así es.
GABRIELA WARKENTIN,NA,Moderador,Gracias candidato.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"No le carguemos todo a los maestros, los padres tenemos mucho que ver en esto."
GABRIELA WARKENTIN,NA,Moderador,Gracias candidato.
LEONARDO CURZIO,NA,Moderador,"Candidato Anaya, déjeme retomar la conversación justo donde la dejaba mi compañera Gabriela Warkentin, la secundaria. Es una auténtica zona de desastre, según planean, nuestros chicos no se expresan bien y no saben hacer operaciones complejas. ¿Tiene usted un plan concreto para atacar el problema de la secundaria en nuestro país?"
RICARDO ANAYA,Anaya,Candidato,"Si, en términos generales tenemos reto doble. Por un lado tenemos un reto de cobertura y por otro lado tenemos un reto de calidad educativa. Entonces, efectivamente, para que haya mejor calidad la Reforma Educativa plantea justamente, en su parte correcta, dar herramientas a las maestras y a los maestros para que puedan hacer mejor su trabajo. El problema, y hay que decirlo con toda claridad, es que la reforma se ha implementado muy mal. Yo estoy en contra de ambos extremos, cancelar la reforma, como propone López Obrador, implicaría permitir que se vendan plazas, que se hereden plazas, que los asensos se den para aquellos que asisten a marchas, plantones. Pero también lo digo con toda claridad, ¿por qué se ha implementado mal la reforma? Y esto contesta la pregunta, porque la Reforma Educativa se trataba, doctor Curzio, de mejorar la educación, no de castigar a las maestras y a los maestros…"
LEONARDO CURZIO,NA,Moderador,"O sea, ¿qué propone para mejorar…?"
RICARDO ANAYA,Anaya,Candidato,"A eso voy. No para castigar a las maestras y a los maestros. Para que nos demos una idea de la gravedad: hoy se está gastando el triple en las evaluaciones de lo que se gasta en la formación y en la capacitación de los maestros. ¿Qué se requiere? Más capacitación para las maestras y para los maestros. Y doy un dato que pinta de cuerpo entero el desastre y con esto termino la idea: este gobierno gastó más dinero en publicidad, en este caso de una persona, del Secretario de Educación Pública, por cierto el coordinador de campaña de José Antonio Meade, más dinero, 1963 millones que lo que gastaron en la formación y en la capacitación de un millón de docentes…"
LEONARDO CURZIO,NA,Moderador,Pero dígame…
RICARDO ANAYA,Anaya,Candidato,¿Qué tenemos que hacer? Invertir la fórmula…
LEONARDO CURZIO,NA,Moderador,"Dígame, dígame…"
RICARDO ANAYA,Anaya,Candidato,Gastar más en la formación y en la capacitación de los maestros…
LEONARDO CURZIO,NA,Moderador,"Dígame brevemente para pasar a otro tema que hay un montón que le preguntan: ¿Usted cree que las pruebas deben ser, deben ser, las de evaluación de los jóvenes, muestrales o sensales?"
RICARDO ANAYA,Anaya,Candidato,"Creo que de haber muestras sensales. Y segundo, pruebas sensales…"
LEONARDO CURZIO,NA,Moderador,¿Muestras o sensales?
RICARDO ANAYA,Anaya,Candidato,"Pruebas sensales y que se debe de modificar el momento en el que están realizando. El problema es que actualmente se realizan cuando los niños por ejemplo ya terminaron la primaria y nos estamos enterando cuando ya están en secundaria de las carencias que tienen. Necesitamos invertirlo, lo explico, para que la prueba de manera sensal se hagan en quinto de primaria, antes de que terminen la primaria y de esa manera, se les puedan dar los conocimientos que les faltan para secundaria…"
LEONARDO CURZIO,NA,Moderador,Candidato Anaya…
RICARDO ANAYA,Anaya,Candidato,Y concluyo. Y lo mismo…
LEONARDO CURZIO,NA,Moderador,Tengo varias preguntas…
RICARDO ANAYA,Anaya,Candidato,"Y lo mismo para secundaria. En lugar de hacer la prueba cuando los resultados están en primero de prepa, hacerla en segundo de secundaria."
LEONARDO CURZIO,NA,Moderador,"Mire, Fátima le pregunta sobre el tema de universidades, que parece mucho en la conversación de redes sociales, dice: ¿qué va a ser usted para desarrollar el espíritu científico? Desde el preescolar usted sabe que México no tiene, no registra muchas patentes, tenemos pocas universidades de vanguardia, la UNAM está en el 113. No por agraviar, pero la de Querétaro ocupa el 146 en la escala latinoamericana. ¿Qué va a hacer con la Educación Superior, digamos, en la innovación científica?"
RICARDO ANAYA,Anaya,Candidato,"Dos cosas: primero, modificar el modelo, necesitamos aprender a pensar, no a memorizar y que lo que se aprende en las universidades, la ciencia que ahí se genera, se pueda aplicar; y segundo, lo digo con toda claridad, que ningún joven se quede sin la oportunidad de estudiar por falta de recursos. No debe haber rechazados en nuestro país y tengo la fórmula para lograrlo…"
LEONARDO CURZIO,NA,Moderador,Gracias…
GABRIELA WARKENTIN,NA,Moderador,"Gracias. Y antes de comenzar, el candidato, nos dicen por ahí que está sacando un celular y que…"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Estaba viendo la hora…
GABRIELA WARKENTIN,NA,Moderador,"Y que no estaba permitido sacar el celular. Entonces, me piden que le diga que por favor no saque el celular. Seguimos con las preguntas, voy con usted, candidato López Obrador. En tema de educación hay dos grandes rubros que le preguntan a usted. Uno tiene que ver, como se podrán imaginar a través de las redes sociales, con la Reforma Educativa y la primera pregunta directa es: ¿qué aspectos de la Reforma Educativa va usted a cancelar? ¿La va a cancelar toda o la va a modificar?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Voy a cancelar la, la esencia de la reforma porque considero que no es una Reforma Educativa lo que se aprobó, es una mal llamada Reforma Educativa, que lo que se aprobó tiene más que ver con una reforma laboral, es un mecanismo, una represión , una coerción a maestros está dedicada a afectar a los maestros y tienen una orientación neoliberal, privatizadora, recoge lo que nos recomiendan desde el extranjero."
GABRIELA WARKENTIN,NA,Moderador,"Pero cuando dice cancelar la esencia de la Reforma Educativa, ¿cómo se cancela la esencia de la Reforma Educativa, es decir se echa para atrás toda y se vuelve a hacer, cómo?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Que no haya represión al magisterio, que no se siga humillando a los maestros, se esmeraron en degradar a los maestros, echarles la culpa del atraso educativo, una campaña de desprestigio al maestro, no se puede aplicar una Reforma Educativa de verdad sin los maestros, el que trasmite el conocimiento en el aula es el maestro."
GABRIELA WARKENTIN,NA,Moderador,"Pero entonces insisto, ¿es hacer, echarla completamente para atrás y volver hacer algo nuevo?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, no vamos a poner de acuerdo con maestros, con padres de familia, con especialistas y vamos a elaborar."
GABRIELA WARKENTIN,NA,Moderador,"Entonces sí se cancela, sí se cancela."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Un plan educativo nuevo para mejorar de verdad la calidad de la enseñanza sin afectar los derechos laborales del magisterio.
GABRIELA WARKENTIN,NA,Moderador,¿Y usted está de acuerdo en la evaluación del magisterio?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, pero está utilizada la evaluación que fue el eje de toda esta mal llamada Reforma Educativa, está utilizada con propósitos persecutorios, eso no funciona, antes de evaluar hay que capacitar, hay que formar pero también hay que incentivar, hay que convencer, hay que concientizar, no imponer las cosas como le hicieron."
GABRIELA WARKENTIN,NA,Moderador,"Entonces en ese tema Reforma Educativa, cancelada."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, para que quede claro, voy a utilizar desde luego mis facultades como titular del ejecutivo, tengo que enviar iniciativas al Congreso, pero a lo que nosotros corresponde, políticamente, la decisión que hemos tomado es que se cancela la mal llamada Reforma Educativa, que no es en realidad una Reforma Educativa."
GABRIELA WARKENTIN,NA,Moderador,"Bueno, había una pregunta sobre las universidades pero ya no nos va a dar tiempo para ella, nada más le comento otra más, el Instituto Nacional para la Evaluación Educativa ¿sí, no?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, que se mantenga tiene que haber evaluaciones, los maestros no se opone a la evaluación, yo he estado hablando con los maestros, todos aceptan la evaluación lo que no quieren es que la evaluación sea un mecanismo para reprimir, para castigar al maestro, para humillar al maestro."
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato, tenemos una réplica del candidato Meade, candidato por favor."
JOSÉ ANTONIO MEADE,Meade,Candidato,"En español, y para ser muy, muy claro, cancelar la Reforma Educativa implica cancelar el futuro de tus hijos, implica echar por la borda la posibilidad de que aprendan inglés, implica echar por la borda la tecnología y que  los maestros, estoy absolutamente de su lado, les voy a pegar mejor, van a tener absoluta certeza laboral junto con Nueva Alianza vamos a hacer un equipo pero por favor, por sus hijos no lo pongan cerca de la educación."
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato, tiene República el candidato Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Nada más una pregunta a Andrés, ¿hay un acuerdo con Elba Esther respecto a eso, con los maestros que están relacionados en eso? porque no lo hago es mala leche la pregunta, es un tema, creo que vale la pena considerarlo, el sindicato, es un sindicato que detenido la educación de una manera muy fuerte en el país. Yo valoro al maestro de manera individual, ¿lo haces tú también así, sin el tema del sindicato sino con el maestro como tal?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, ¿esto qué tiene que ver?"
