nombre,nombre_corto,rol,dialogo
LEONARDO CURZIO,NA,Moderador,"Bueno que pues vamos en este segmento hablar de otro tema de compromisos planetarios, en estos asuntos fíjense, el planeta es nuestra patria y por supuesto todos recordamos que tenemos un país mega diverso, de hecho este espléndido museo en donde estamos transmitiendo nos recuerda que el mundo Maya se colapsó, la civilización maya ante una crisis ecológica y hoy tenemos el mismo riesgo déjenme empezar efectivamente recordando que el capital natural de este país es enorme, pero la diversidad no sólo implica especies, implica también cultura, de hecho aprende una frase en otomí que es  que es mi pueblo se está muriendo, efectivamente hay más de 7 millones de compatriotas que hablan una lengua, una lengua vernácula, una lengua autóctona, y empezaría preguntándole a usted candidato Rodríguez Calderón, las comunidades indígenas viven en zonas de gran valor ambiental, ¿qué plan tiene usted para garantizar que se preserve la diversidad cultural y al mismo tiempo conservemos el medio ambiente? ¿Cómo planea por ejemplo parar la deforestación?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Hay condiciones en México, falta cultura en el gobierno y cultura de la propia sociedad, tenemos que trabajar mucho en eso y para eso se tiene que evidentemente no solamente trabajar en el proteccionismo sino en el fomento a la condición de que la gente pueda disfrutar lo que tiene sin necesidad de explotarlo y destruirlo, en eso sí soy experto, soy ingeniero agrónomo, es producido miles de plantas en mi vida y creo que podemos generar una condición de equilibrio entre el turismo y el ecoturismo, tenemos que potenciar la economía de esas zonas porque esas son las mismas que están autodestruyendo, por la falta de recursos como por la falta de posibilidades de vivir en esas zonas y ahí se tiene que trabajar mucho, solamente en la apicultura, en culturizar a la gente en la protección de su ambiente."
LEONARDO CURZIO,NA,Moderador,"Candidatos, algunos de ustedes, y lo acaban de ratificar en este debate proponen subsidios a combustibles, la comunidad científica considera esos impuestos y esos subsidios ambientalmente regresivos, qué me plantean a esto, candidato Anaya por ejemplo."
RICARDO ANAYA,Anaya,Candidato,"Con mucho gusto, sí por supuesto, que a partir de 2024 que un vehículo eléctrico va a costar lo mismo o menos que un vehículo que tiene un motor de combustión interna que usa gasolina, pues por supuesto que hay que evitar los subsidios, yo propongo impulsar con todo las energías, esto es un gran ejemplo de las energías renovables, este aerogenerador está en Puerto Peñasco, la propuesta de Toño Astiazarán le asignamos recursos, gracias a este aerogenerador reciben energía eléctrica 10 mil 500 familias en el Estado de Sonora, muchas de ellas gracias a este aerogenerador, cuando llega su recibo si me ayudan a acercar la camarada este recibo, cuando llegue este recibo, les llega de cero pesos. Vamos a hacer el programa de aerogeneradores un programa nacional, queremos energías limpias, energías renovables, energías que no contaminen."
LEONARDO CURZIO,NA,Moderador,"Candidato López Obrador, usted también ha hablado de controlar el precio de las gasolinas, ¿cómo vamos a hacer compatible el objetivo nacional de reducir emisiones si subvencionamos gasolinas?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Se puede lograr, la gasolina en México es más cara que en Estados Unidos, es más cara que en Guatemala que no tienen petróleo, porque México desde hace 40 años no se hace una nueva refinería, se dejaron en el abandonó las seis refinerías que se tienen, estamos comprando alrededor de 600 mil barriles diarios de gasolinas a precios muy elevados, entonces vamos nosotros a rehabilitar las seis refinerías que tenemos, vamos a construir una gran refinería, nos va a alcanzar el recurso. Lo que se compra de gasolina al año equivale a 500 mil millones de pesos. Estamos hablando de lo que cuestan tres refinerías."
LEONARDO CURZIO,NA,Moderador,¿Pero si la abaratamos no vamos a consumir más?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Es que vamos a también a fomentar la generación de energía con recursos renovables, con el viento, con el sol y con el agua."
LEONARDO CURZIO,NA,Moderador,¿Ya la tiene contemplada en su propuesta?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, no, no. Hay un asunto que tiene que ver con la corrupción. Se abandonaron también las hidroeléctricas. Entonces, queremos rehabilitar las hidroeléctricas para generar energía que es barata y es energía, vamos a decir, renovable."
LEONARDO CURZIO,NA,Moderador,"Candidato Meade, ¿es fiscal, ambiental y éticamente sustentable estar subsidiando gasolinas?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"No, no lo es, ni fiscal, ni ética ni…digo, no hay manera de hacerlo. Y aquí un poco vale la pena que no los engañen, no alcanza. Primero, no es cierto que el IEPS hoy sea lo que dice Ricardo. El precio del petróleo subió en el mundo, con cargo a los conflictos que hay en el medio oriente. Cuando los países se meten a administrar los precios, sufren las finanzas públicas y, al final, se genera pobreza y desempleo."
LEONARDO CURZIO,NA,Moderador,¿Piensa desarrollar la energía nuclear como parte de la matriz energética?
JOSÉ ANTONIO MEADE,Meade,Candidato,"Tenemos dos plantas nucleares y tenemos posibilidad de crecerlas. Habría que evaluar si eso es lo que más conviene. Lo más probable es que tengamos mucha más capacidad antes en solar y en eólica, que saldría mucho más barato que hacerlo nuclear; pero México va a seguir creciendo y, por lo tanto, va a tener que seguir invirtiendo en modernizar su matriz energética."
LEONARDO CURZIO,NA,Moderador,"Candidato Rodríguez Calderón, ¿usted optaría por la energía nuclear?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Habría que pensarlo, no es una condición que yo en este momento la tenga pensada, yo creo que hay que mejorar las condiciones de producción de energía eólica, energía solar. Hay condiciones en el norte y en el sureste del país para hacerlo y, evidentemente, tranquilizar ese tema."
LEONARDO CURZIO,NA,Moderador,"Candidato Anaya, ¿sobre lo nuclear qué me dice?"
RICARDO ANAYA,Anaya,Candidato,"Primero, no, definitivamente nuclear no. En el último año el promedio de los impuestos que se cobraron por un litro de gasolina fue 33% entre IEPS, IVA, es decir, todas las contribuciones, te lo puedo demostrar. Segundo, construir una refinería es un absoluto disparate, eso cuesta más o menos 120 mil millones de pesos. Y segundo, para cuando se terminara de construir esa refinería, más o menos 2024, va a empezar el declive del consumo de gasolina porque los vehículos eléctricos ya van a costar lo mismo o menos que los de combustión interna. Tenemos más bien que transitar hacia energías limpias, energías renovables."
LEONARDO CURZIO,NA,Moderador,¿Qué medidas proponen de combate y mitigación o adaptación para el tema del cambio climático? Candidato Rodríguez Calderón.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Precisamente el menor uso del transporte individual o vehículos. Implementar el mayor uso del transporte público a partir de energía eléctrica y no utilizar la energía a base del petróleo que contamina enormemente. Andrés, la refinería de Nuevo León no la queremos, o sea, contamina demasiado y, evidentemente, produce enormes daños a la sociedad, un poquito para que lo contemples, que no queremos refinerías. En términos de contaminación es enorme, entonces yo propongo ese equilibrio entre el uso y reducir el uso del vehículo para hacer el Tren Rápido del sureste al norte del país, en base a la energía eléctrica, para construir evidentemente los transportes públicos en base a la utilización de energía eléctrica y no en base al combustóleo o diésel, otro tipo de energías que en cierta medida dañan el mundo."
LEONARDO CURZIO,NA,Moderador,"Tenemos una tradición en México de vivir a espaldas al mar. ¿Tienen ustedes, candidato Meade, un proyecto de cómo hacer un uso racional del patrimonio marítimo que tenemos, sustentable?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira, yo creo que es una de las grandes causas del mundo, México es uno de los países con más litorales y somos el catorceavo país en extensión, pero somos aún más importantes en litorales y en la explotación y el cuidado de los océanos. Es un tema bien importante, y dentro de los océanos, de algunas especies específicas como la vaquita marina. Pero deja regresar al tema que le planteas, que digo que es bien interesante, a “El Bronco”. El tema de mitigación y de cambio climático tiene que ver con cómo vemos nuestro futuro, con cómo queremos que sea nuestro país, como queremos aprovechar la basura, cómo queremos que sea el transporte público, con qué materiales queremos construir nuestras casas. ¿Cómo queremos eficientar el uso de los electrodomésticos? Es un tema profundamente innovador, tiene que ver con cómo queremos que sean nuestras ciudades, cómo queremos diseñarlas y por lo tanto, no es un tema que sea abstracto sino que va a cambiar la forma como vimos en México."
LEONARDO CURZIO,NA,Moderador,"Gracias, candidato Meade. Hay otro tema que les quiero poner sobre la mesa. Dice Oxfam que hay 27 millones de compatriotas nuestros que viven en municipios que son altamente sensibles a desastres naturales, y estos se han incrementado por el cambio, su intensidad, por el presente cambio climático. ¿Tienen, candidato López Obrador, alguna propuesta para esto…?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Sí…
LEONARDO CURZIO,NA,Moderador,¿Para hacerlos más resilientes?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, sí."
LEONARDO CURZIO,NA,Moderador,Dígame.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Se va, se van a plantar árboles frutales maderables, tenemos un plan para sembrar un millón de hectáreas de árboles frutales y maderables en el sur sureste del país con un efecto multiplicador, primero lo ambiental porque se echó abajo la selva, se deforestó de manera irracional, todo esto ha ocasionado muchos problemas, erosiones y esa fragilidad que se tiene donde vive la gente más humilde, más pobre. Primero eso, segundo que es algo muy importante, decía yo que el campo es la fábrica más…"
LEONARDO CURZIO,NA,Moderador,"Gracias, gracias candidato, se terminó su tiempo. A ver, tienen tiempo el candidato Rodríguez Calderón, el candidato Meade y el candidato Anaya. Si no me toman la palabra, voy a terminar la mesa."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Déjame un poco, hablando de la visión de futuro y de cómo queremos que sea de las ciudades hacia delante y, y podemos un poco revisar de nuevo y llama la atención, parte de la agenda del cambio climático tiene que ver con el transporte público masivo. Eso implica, y nosotros hemos planteado, 100 ciudades en donde vamos a modernizar el transporte público para que sea más ágil, para que sea más eficiente, más moderno y más seguro. Pero podemos ver también aquí en la mesa, quién cree en el transporte público masivo. Andrés Manuel, por ejemplo, no invirtió un solo peso en Metro cuando fue jefe del de Gobierno. La Ciudad de México es la púnica gran capital del mundo que no tiene un bordo para convertir la basura en energía y probablemente la única capital de un país del G20 que no trataba el agua."
LEONARDO CURZIO,NA,Moderador,"Gracias, candidato Meade. Candidato Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Hoy hay tecnología para tratar el agua, hay que tratar toda el agua para poder conservar a nuestro mundo y nuestro país. Hay que reducir, hay que pensar en reducir la semana laboral, ir pensando en eso para desincentivar el uso del vehículo, hay que buscar alternativas de que la gente pueda trabajar mucho más cerca de su casa y para eso hay que hacer todo un proyecto y un programa que haga que la industria domiciliaria llegue a México."
LEONARDO CURZIO,NA,Moderador,"Gracias, candidato. Candidato Anaya. Candidato López Obrador, usted ya no tiene réplica pero, candidato Anaya, ¿con las áreas naturales protegidas qué hacemos?"
RICARDO ANAYA,Anaya,Candidato,"Aplicación de la ley, sí, que se respeten las áreas naturales protegidas es el principal activo que tenemos justamente para evitar que haya tantos gases de efecto invernadero que están provocando el cambio climático. Quiero decir tres cosas más: La primera, que quede constancia, Andrés Manuel, que negaste que se le hayan otorgado contratos con 170 millones a tu amigo Riovo. Lo voy a demostrar, voy a presentar las pruebas porque tú hablas e combatir la corrupción pero de dientes para. Afuera. Segundo, públicamente, entren a esta página y lo van a ver, te has comprometido a no perseguir la corrupción en este sexenio. Y tercero, una propuesta más, si instalamos paneles solares como estos en el techo de las casas, con tres módulos es suficiente para que el recibo promedio en México llegue en ceros, éste va a ser un programa nacional."
LEONARDO CURZIO,NA,Moderador,Gracias candidato Anaya. Tiene dos segundos candidato Meade.
JOSÉ ANTONIO MEADE,Meade,Candidato,Mucha surte para la selección.
LEONARDO CURZIO,NA,Moderador,"Ahora vienen los minutos de cierre tienen un minuto cada uno de ustedes para cerrar éste nuestro tercer debate, para cerrar el último debate de esta elección presidencial. El primero que tiene la palabra, un minuto candidato Andrés Manuel López Obrador."
